Date,Open,High,Low,Close,Volume
9/15/2022,65.8,66.14,65.01,65.09,"24,382,065"
9/16/2022,65,65.04,63.01,64.41,"57,451,410"
9/19/2022,62.6,64.94,62.43,64.68,"19,677,385"
9/20/2022,64.1,64.82,63.25,64.28,"20,264,249"
9/21/2022,65.63,65.96,62.32,62.68,"18,597,218"
9/22/2022,63.19,64.27,61.75,61.88,"20,343,176"
9/23/2022,59.69,60.07,58.04,58.73,"29,654,880"
9/26/2022,58.31,59.23,57.43,57.88,"25,390,733"
9/27/2022,58.88,59.47,57.67,58.53,"28,187,470"
9/28/2022,58.96,61.6,58.63,61.41,"22,343,938"
9/29/2022,61.22,63.12,60.55,62.11,"30,091,449"
9/30/2022,60.8,62.22,60.41,61.45,"19,494,875"
10/3/2022,63.72,65.03,63.4,64.06,"25,451,447"
10/4/2022,65.16,67.14,64.73,66.17,"25,152,307"
10/5/2022,66.07,68.16,65.64,67.74,"25,491,395"
10/6/2022,67.6,70.83,67.51,70.5,"23,475,268"
10/7/2022,70.86,72.04,69.06,69.8,"29,084,976"
